Inventory Date,ItemCode,Branch,Weekly Demand
2/4/18,100040,Atlanta F&S,53419
2/4/18,10243,Atlanta F&S,35
2/4/18,10629,Atlanta F&S,4
2/4/18,10680,Atlanta F&S,50
2/4/18,10681,Atlanta F&S,16
2/4/18,10682,Atlanta F&S,1
2/4/18,10696,Atlanta F&S,1258
2/4/18,10697,Atlanta F&S,34
2/4/18,10710,Atlanta F&S,1
2/4/18,10716,Atlanta F&S,2
2/4/18,10717,Atlanta F&S,1
2/4/18,10721,Atlanta F&S,2
2/4/18,10722,Atlanta F&S,1
2/4/18,10777,Atlanta F&S,1269
2/4/18,108,Atlanta F&S,2
2/4/18,10829,Atlanta F&S,1236
2/4/18,109,Atlanta F&S,605
2/4/18,11,Atlanta F&S,553
2/4/18,111,Atlanta F&S,889
2/4/18,112,Atlanta F&S,3960
2/4/18,113,Atlanta F&S,1285
2/4/18,115,Atlanta F&S,3067
2/4/18,119,Atlanta F&S,748
2/4/18,12,Atlanta F&S,551
2/4/18,137,Atlanta F&S,18
2/4/18,139,Atlanta F&S,16
2/4/18,14,Atlanta F&S,1037
2/4/18,140,Atlanta F&S,13
2/4/18,141,Atlanta F&S,20
2/4/18,142,Atlanta F&S,31
2/4/18,15,Atlanta F&S,1825
2/4/18,1579,Atlanta F&S,58
2/4/18,16,Atlanta F&S,2713
2/4/18,1604,Atlanta F&S,48
2/4/18,17,Atlanta F&S,70
2/4/18,1718001,Atlanta F&S,24
2/4/18,1718016,Atlanta F&S,24
2/4/18,189,Atlanta F&S,66
2/4/18,190,Atlanta F&S,103
2/4/18,194,Atlanta F&S,60
2/4/18,195,Atlanta F&S,17
2/4/18,2049,Atlanta F&S,5
2/4/18,205,Atlanta F&S,12
2/4/18,2050,Atlanta F&S,3
2/4/18,2053,Atlanta F&S,4
2/4/18,2054,Atlanta F&S,15
2/4/18,207,Atlanta F&S,291
2/4/18,208,Atlanta F&S,6
2/4/18,2083,Atlanta F&S,486
2/4/18,209,Atlanta F&S,65
2/4/18,211,Atlanta F&S,79
2/4/18,2183,Atlanta F&S,8375
2/4/18,2184,Atlanta F&S,7776
2/4/18,2185,Atlanta F&S,434
2/4/18,2186,Atlanta F&S,13973
2/4/18,2187,Atlanta F&S,256
2/4/18,2189,Atlanta F&S,131
2/4/18,232,Atlanta F&S,139
2/4/18,234,Atlanta F&S,24
2/4/18,239,Atlanta F&S,18098
2/4/18,265,Atlanta F&S,99
2/4/18,3480,Atlanta F&S,845
2/4/18,3481,Atlanta F&S,4574
2/4/18,3540,Atlanta F&S,33072
2/4/18,3542,Atlanta F&S,11441
2/4/18,3555,Atlanta F&S,296
2/4/18,3557,Atlanta F&S,16567
2/4/18,3559,Atlanta F&S,265
2/4/18,3560,Atlanta F&S,132
2/4/18,3626,Atlanta F&S,280
2/4/18,3721,Atlanta F&S,10104
2/4/18,373,Atlanta F&S,10
2/4/18,374,Atlanta F&S,11
2/4/18,3902,Atlanta F&S,12352
2/4/18,393,Atlanta F&S,440
2/4/18,394,Atlanta F&S,29
2/4/18,395,Atlanta F&S,12
2/4/18,396,Atlanta F&S,1159
2/4/18,3973,Atlanta F&S,54
2/4/18,3975,Atlanta F&S,199
2/4/18,3985,Atlanta F&S,188
2/4/18,3991,Atlanta F&S,125295
2/4/18,3994,Atlanta F&S,5314
2/4/18,3995,Atlanta F&S,13261
2/4/18,3997,Atlanta F&S,45848
2/4/18,3998,Atlanta F&S,5886
2/4/18,3999,Atlanta F&S,58186
2/4/18,4004,Atlanta F&S,215566
2/4/18,4005,Atlanta F&S,211988
2/4/18,4011,Atlanta F&S,90
2/4/18,4045,Atlanta F&S,139655
2/4/18,4046,Atlanta F&S,92453
2/4/18,406,Atlanta F&S,45
2/4/18,4060,Atlanta F&S,1000
2/4/18,4070,Atlanta F&S,60
2/4/18,4074,Atlanta F&S,46
2/4/18,4075,Atlanta F&S,25
2/4/18,408,Atlanta F&S,81
2/4/18,4087,Atlanta F&S,33208
2/4/18,409,Atlanta F&S,6
2/4/18,410,Atlanta F&S,87
2/4/18,411,Atlanta F&S,126
2/4/18,4121,Atlanta F&S,12984
2/4/18,416,Atlanta F&S,4
2/4/18,4191,Atlanta F&S,68
2/4/18,420,Atlanta F&S,12
2/4/18,422,Atlanta F&S,62
2/4/18,4239,Atlanta F&S,148
2/4/18,424,Atlanta F&S,69
2/4/18,425,Atlanta F&S,16
2/4/18,426,Atlanta F&S,35
2/4/18,427,Atlanta F&S,80
2/4/18,428,Atlanta F&S,30
2/4/18,429,Atlanta F&S,56
2/4/18,430,Atlanta F&S,62
2/4/18,4352,Atlanta F&S,2501
2/4/18,4363,Atlanta F&S,280
2/4/18,4364,Atlanta F&S,280
2/4/18,4366,Atlanta F&S,754
2/4/18,440,Atlanta F&S,14
2/4/18,45004X14,Atlanta F&S,21
2/4/18,45004X16,Atlanta F&S,156
2/4/18,45004X18,Atlanta F&S,88
2/4/18,45004X24,Atlanta F&S,52
2/4/18,456,Atlanta F&S,2
2/4/18,457,Atlanta F&S,90
2/4/18,458,Atlanta F&S,319
2/4/18,459,Atlanta F&S,731
2/4/18,461,Atlanta F&S,3883
2/4/18,462,Atlanta F&S,5200
2/4/18,463,Atlanta F&S,13469
2/4/18,466,Atlanta F&S,246
2/4/18,469,Atlanta F&S,552
2/4/18,47013,Atlanta F&S,68
2/4/18,47016,Atlanta F&S,80
2/4/18,47100,Atlanta F&S,1
2/4/18,474,Atlanta F&S,18387
2/4/18,47413,Atlanta F&S,19
2/4/18,47416,Atlanta F&S,4
2/4/18,475,Atlanta F&S,366
2/4/18,476,Atlanta F&S,299
2/4/18,47704,Atlanta F&S,9
2/4/18,47710,Atlanta F&S,17
2/4/18,47712,Atlanta F&S,27
2/4/18,47950,Atlanta F&S,22
2/4/18,511,Atlanta F&S,32439
2/4/18,513,Atlanta F&S,2235
2/4/18,521,Atlanta F&S,563
2/4/18,525,Atlanta F&S,24
2/4/18,530,Atlanta F&S,214
2/4/18,532,Atlanta F&S,66
2/4/18,533,Atlanta F&S,24
2/4/18,534,Atlanta F&S,24
2/4/18,540,Atlanta F&S,24
2/4/18,548480,Atlanta F&S,1
2/4/18,56,Atlanta F&S,8
2/4/18,562,Atlanta F&S,3
2/4/18,564,Atlanta F&S,4
2/4/18,567,Atlanta F&S,6
2/4/18,569,Atlanta F&S,131
2/4/18,57,Atlanta F&S,82
2/4/18,570,Atlanta F&S,291
2/4/18,571,Atlanta F&S,630
2/4/18,572,Atlanta F&S,168
2/4/18,573,Atlanta F&S,849
2/4/18,574,Atlanta F&S,469
2/4/18,5764,Atlanta F&S,380
2/4/18,577,Atlanta F&S,40
2/4/18,578,Atlanta F&S,103
2/4/18,579,Atlanta F&S,113
2/4/18,58,Atlanta F&S,40
2/4/18,580,Atlanta F&S,85
2/4/18,581,Atlanta F&S,217
2/4/18,583,Atlanta F&S,245
2/4/18,585,Atlanta F&S,244
2/4/18,587,Atlanta F&S,121
2/4/18,589,Atlanta F&S,128
2/4/18,59,Atlanta F&S,29
2/4/18,590,Atlanta F&S,86
2/4/18,591,Atlanta F&S,216
2/4/18,592,Atlanta F&S,196
2/4/18,593,Atlanta F&S,433
2/4/18,594,Atlanta F&S,160
2/4/18,595,Atlanta F&S,882
2/4/18,597,Atlanta F&S,721
2/4/18,599,Atlanta F&S,1172
2/4/18,5X9,Atlanta F&S,15
2/4/18,601,Atlanta F&S,592
2/4/18,6024,Atlanta F&S,9
2/4/18,603,Atlanta F&S,223
2/4/18,605,Atlanta F&S,290
2/4/18,609,Atlanta F&S,73
2/4/18,610,Atlanta F&S,53
2/4/18,611,Atlanta F&S,89
2/4/18,612,Atlanta F&S,56
2/4/18,613,Atlanta F&S,82
2/4/18,614,Atlanta F&S,132
2/4/18,615,Atlanta F&S,149
2/4/18,616,Atlanta F&S,137
2/4/18,6161,Atlanta F&S,6898
2/4/18,617,Atlanta F&S,151
2/4/18,618,Atlanta F&S,104
2/4/18,619,Atlanta F&S,181
2/4/18,62,Atlanta F&S,727
2/4/18,620,Atlanta F&S,321
2/4/18,621,Atlanta F&S,125
2/4/18,622,Atlanta F&S,151
2/4/18,623,Atlanta F&S,69
2/4/18,624,Atlanta F&S,48
2/4/18,625,Atlanta F&S,38
2/4/18,626,Atlanta F&S,67
2/4/18,627,Atlanta F&S,788
2/4/18,628,Atlanta F&S,479
2/4/18,629,Atlanta F&S,544
2/4/18,63,Atlanta F&S,465
2/4/18,630,Atlanta F&S,360
2/4/18,631,Atlanta F&S,414
2/4/18,632,Atlanta F&S,903
2/4/18,633,Atlanta F&S,827
2/4/18,634,Atlanta F&S,110
2/4/18,635,Atlanta F&S,224
2/4/18,636,Atlanta F&S,51
2/4/18,637,Atlanta F&S,130
2/4/18,638,Atlanta F&S,26
2/4/18,639,Atlanta F&S,62
2/4/18,640,Atlanta F&S,25
2/4/18,6406,Atlanta F&S,1635
2/4/18,644,Atlanta F&S,1281
2/4/18,645,Atlanta F&S,442
2/4/18,646,Atlanta F&S,969
2/4/18,650,Atlanta F&S,1383
2/4/18,6502,Atlanta F&S,10
2/4/18,652,Atlanta F&S,4257
2/4/18,6521,Atlanta F&S,150
2/4/18,6531,Atlanta F&S,8
2/4/18,654,Atlanta F&S,5444
2/4/18,6541,Atlanta F&S,24
2/4/18,656,Atlanta F&S,1232
2/4/18,657,Atlanta F&S,302
2/4/18,658,Atlanta F&S,339
2/4/18,66,Atlanta F&S,463
2/4/18,669,Atlanta F&S,429
2/4/18,67,Atlanta F&S,1868
2/4/18,670,Atlanta F&S,44
2/4/18,6701,Atlanta F&S,113
2/4/18,671,Atlanta F&S,2277
2/4/18,672,Atlanta F&S,86
2/4/18,673,Atlanta F&S,668
2/4/18,674,Atlanta F&S,529
2/4/18,675,Atlanta F&S,931
2/4/18,676,Atlanta F&S,4
2/4/18,677,Atlanta F&S,32
2/4/18,678,Atlanta F&S,80
2/4/18,679,Atlanta F&S,64
2/4/18,68,Atlanta F&S,618
2/4/18,680,Atlanta F&S,88
2/4/18,6811,Atlanta F&S,592
2/4/18,682,Atlanta F&S,177
2/4/18,683,Atlanta F&S,74
2/4/18,684,Atlanta F&S,14
2/4/18,685,Atlanta F&S,56
2/4/18,687,Atlanta F&S,14
2/4/18,688,Atlanta F&S,40
2/4/18,69,Atlanta F&S,268
