ItemCode,Branch,InventoryQuantity
002488US,Baltimore F&S,142
002488US,Great Lakes CC,688
002488US,Linden,299
6326,USD Region Offices,900
6350,USD Region Offices,141
10,USD Region Offices,100
010B,USD Region Offices,1
010C,USD Region Offices,1
010D,USD Region Offices,197
111100,USD Region Offices,386
111150,USD Region Offices,14
111350,USD Region Offices,224
011CORH,Linden,61
011CORH,Sacramento Main,17
011CORH,USD Region Offices,731
121000,Toronto F&S,80
121003,Toronto F&S,28
121004,Fontana,105
121004,Toronto F&S,692
121004,USD Region Offices,8
012CL4,Baltimore F&S,3
012CL4,Great Lakes CC,10
012CL4,Houston F&S,2
012CL4,Linden,13
012CL4,Sacramento Main,4
012CL4,Seattle F&S,78
012CL4,Tampa F&S,48
012CL7,Baltimore F&S,15
012CL7,Great Lakes CC,22
012CL7,Houston F&S,12
012CL7,Linden,29
012CL7,Sacramento Main,27
012CL7,Seattle F&S,98
012CL7,Tampa F&S,96
012CLB,Baltimore F&S,21
012CLB,Great Lakes CC,42
012CLB,Houston F&S,135
012CLB,Linden,34
012CLB,Sacramento Main,27
012CLB,Seattle F&S,501
012CLB,USD Region Offices,229
014A,USD Region Offices,2
014E,USD Region Offices,36
01A,Baltimore F&S,37
01A,Great Lakes CC,72
01A,Linden,243
01A,Sacramento Main,53
01A,USD Region Offices,736
01H,Baltimore F&S,19
01H,USD Region Offices,178
01HX24,Baltimore F&S,154
01HX24,USD Region Offices,285
01JX2W,Great Lakes CC,291
01JX2W,Houston F&S,71
01JX2W,Linden,150
01JX2W,USD Region Offices,32
01M,Great Lakes CC,40
01M,Sacramento Main,135
01M,Seattle F&S,48
01M,USD Region Offices,1516
200600,Toronto F&S,104
020C,USD Region Offices,22
212100,Toronto F&S,159
212100,USD Region Offices,4
212125,Toronto F&S,53
212125,USD Region Offices,16
230000,Toronto F&S,490
230003,Toronto F&S,71
230004,Toronto F&S,1650
230005,Edmonton F&S,105
230005,Montreal F&S,373
230005,Toronto F&S,3348
230010,Toronto F&S,1878
230050,Toronto F&S,3718
230100,Edmonton F&S,713
230100,Montreal F&S,529
230100,Toronto F&S,490
230100,Vancouver F&S,550
230111,Toronto F&S,5794
230120,Edmonton F&S,169
230120,Montreal F&S,316
230120,Toronto F&S,589
230150,Edmonton F&S,100
230150,Toronto F&S,676
230200,Toronto F&S,584
230300,Toronto F&S,22
230350,Toronto F&S,36
230600,Montreal F&S,16
230600,Toronto F&S,246
234016,Toronto F&S,2878
234025,Toronto F&S,510
234025,USD Region Offices,116
234033,Sacramento Main,221
234033,USD Region Offices,168
234041,Toronto F&S,2504
234050,Toronto F&S,160
234100,Montreal F&S,56
234100,Toronto F&S,308
234120,Toronto F&S,16
234150,Toronto F&S,234
234200,Toronto F&S,228
234600,Montreal F&S,37
234600,Toronto F&S,226
238025,Montreal F&S,121
238025,Toronto F&S,1115
238043,Edmonton F&S,1
238043,Montreal F&S,1
238043,Toronto F&S,1565
238044,Toronto F&S,324
238045,Edmonton F&S,2
238045,Toronto F&S,139
238050,Montreal F&S,21
238050,Toronto F&S,1191
238060,Toronto F&S,76
239015,Toronto F&S,100
240600,Fontana,24
240600,Toronto F&S,8
241000,Great Lakes CC,363
241000,Montreal F&S,15000
241000,Toronto F&S,441
241090,Toronto F&S,24
241200,Great Lakes CC,518
241200,Montreal F&S,3000
241200,Seattle F&S,120
241200,Toronto F&S,11757
241201,Toronto F&S,6749
241204,Toronto F&S,60
241230,Toronto F&S,248
