,Item Code,Units in System,Demand,Date
0,1579,0,675,2018-02-04
1,1579,0,681,2018-02-11
2,1579,0,681,2018-02-18
3,1579,0,681,2018-02-25
4,2053,0,508,2018-02-04
5,2053,0,525,2018-02-11
6,2053,0,530,2018-02-18
7,2053,0,534,2018-02-25
8,3721,31625,31676,2018-02-25
9,5764,1746,1836,2018-02-25
10,737,169,234,2018-02-25
11,225010,2,3,2018-02-11
12,225010,2,3,2018-02-18
13,225010,2,3,2018-02-25
14,225013,4,6,2018-02-11
15,225013,4,6,2018-02-18
16,225013,4,6,2018-02-25
17,VFTP463087,0,450,2018-02-04
18,VFTP463087,0,450,2018-02-11
19,VFTP463087,0,450,2018-02-18
20,VFTP463087,0,81,2018-02-25
21,7018,0,13,2018-02-04
22,7018,0,13,2018-02-11
23,7018,0,12,2018-02-18
24,7018,0,12,2018-02-25
25,CRCWSJ,12,28,2018-02-25
26,1718024,1677,1803,2018-02-11
27,1718024,1677,1906,2018-02-18
28,1718024,1677,1906,2018-02-25
29,2197,65,1405,2018-02-04
30,2197,65,1515,2018-02-11
31,2197,65,1606,2018-02-18
32,2197,65,1622,2018-02-25
33,2199,0,21,2018-02-04
34,2199,0,21,2018-02-11
35,2199,0,21,2018-02-18
36,2199,0,21,2018-02-25
37,AL1S,154,158,2018-02-18
38,AL1S,154,158,2018-02-25
39,6681,714,801,2018-02-25
40,2190,0,1,2018-02-04
41,2190,0,1,2018-02-11
42,2190,0,1,2018-02-18
43,2190,0,1,2018-02-25
44,PSH9140,328,380,2018-02-18
45,PSH9140,328,380,2018-02-25
46,WPP21008,72,191,2018-02-18
47,WPP21008,72,191,2018-02-25
48,WPP21012,2039,2341,2018-02-18
49,WPP21012,2039,2599,2018-02-25
50,VFTP552147,0,665,2018-02-04
51,VFTP552147,0,604,2018-02-11
52,VFTP552147,0,467,2018-02-18
53,VFTP552147,0,399,2018-02-25
54,2149,0,30,2018-02-04
55,2151,0,3,2018-02-04
56,2152,0,27,2018-02-04
57,BR20L,100,104,2018-02-04
58,CGRGTE,12,23,2018-02-18
59,CGRGTE,12,23,2018-02-25
60,SU5IR,21,29,2018-02-18
61,SU5IR,21,29,2018-02-25
62,6356,1268,2317,2018-02-11
63,6356,1268,1731,2018-02-18
64,6356,1268,1869,2018-02-25
65,5764,1746,1836,2018-02-25
66,3575,816,864,2018-02-18
67,3575,816,864,2018-02-25
68,3721,31625,31676,2018-02-25
69,B10,0,18,2018-02-04
70,B10,0,32,2018-02-11
71,B10,0,32,2018-02-18
72,B10,0,32,2018-02-25
73,10795,40,42,2018-02-04
74,2197,65,1405,2018-02-04
75,2197,65,1515,2018-02-11
76,2197,65,1606,2018-02-18
77,2197,65,1622,2018-02-25
78,SLB6,0,4,2018-02-11
79,SLB6,0,4,2018-02-18
80,SLB6,0,4,2018-02-25
81,2250142,0,1,2018-02-18
82,2250142,0,1,2018-02-25
83,2250143,0,1,2018-02-18
84,2250143,0,1,2018-02-25
85,1759,46,608,2018-02-18
86,1759,46,608,2018-02-25
87,1003,0,2,2018-02-18
88,1003,0,2,2018-02-25
89,1134,4,12,2018-02-18
90,1134,4,12,2018-02-25
91,8730,0,8,2018-02-18
92,8730,0,8,2018-02-25
93,B4,0,6,2018-02-18
94,B4,0,6,2018-02-25
95,CRCWSJ,12,28,2018-02-25
96,1579,0,681,
97,2053,0,534,
98,3721,31625,31676,
99,5764,1746,1836,
100,737,169,234,
101,225010,2,3,
102,225013,4,6,
103,VFTP463087,0,450,
104,7018,0,13,
105,CRCWSJ,12,28,
106,1718024,1677,1906,
107,2197,65,1622,
108,2199,0,21,
109,AL1S,154,158,
110,6681,714,801,
111,2190,0,1,
112,PSH9140,328,380,
113,WPP21008,72,191,
114,WPP21012,2039,2599,
115,VFTP552147,0,665,
116,2149,0,0,
117,2151,0,0,
118,2152,0,0,
119,BR20L,100,104,
120,CGRGTE,12,23,
121,SU5IR,21,29,
122,6356,1268,1869,
123,5764,1746,1836,
124,3575,816,864,
125,3721,31625,31676,
126,B10,0,32,
127,10795,40,42,
128,2197,65,1622,
129,SLB6,0,0,
130,2250142,0,0,
131,2250143,0,0,
132,1003,0,0,
133,8730,0,0,
134,B4,0,0,
135,CRCWSJ,12,28,
