ItemCode,InventoryQuantity
002488US,1147
6350,141
10,100
010B,1
010C,1
010D,197
111100,386
111150,14
111350,224
011CORH,809
121000,72
121003,28
121004,804
012CL4,158
012CL7,299
012CLB,989
014A,2
014E,36
014P,24
014Q,8
01A,1140
01H,197
01HX24,439
01JX2W,544
01M,1779
200600,124
020C,22
212100,163
212125,69
230000,490
230003,71
230004,1650
230005,4076
230010,1878
230050,3718
230100,1995
230111,6044
230120,845
230150,642
230200,594
230300,22
230350,36
230600,397
234016,2878
234025,626
234033,389
234041,2504
234050,180
234100,256
234120,24
234150,214
234200,280
234600,263
238025,1256
238043,1587
238044,324
238045,141
238050,1228
238060,76
239015,100
240600,32
241000,15804
241090,24
241200,17795
241201,6749
241204,60
241230,248
241250,46691
241400,12
241600,18171
241601,4357
241608,20278
241610,81
241612,2660
241616,27433
241650,1216
241670,594
241690,52174
241800,510
241801,74
241810,29
241812,671
241814,25
241880,98
242000,5718
242001,1217
242008,392
242010,3749
242012,3897
242013,54
242018,142
242050,16
242060,184
242070,768
242080,1024
242090,1364
242400,9655
242401,16568
242460,11989
243000,125
243001,1745
243013,4641
243060,239
249035,400
249036,50
249037,16
249911,540
250000,22287
251814,70
252070,13147
252416,247
253212,29
253215,165
025GXC,1616
025JHXC,2091
025KHXC,6343
260000,4
260001,1316
260003,16
260006,426
260505,268
261004,16
27289,2
27291,10
02A,6
02E,3750
302020,180
302022,176
306001,100
306002,43
306020,96
306027,174
306031,349
306032,436
306054,40
306059,49
306060,334
306072,100
315,12
331000,156
331009,212
331010,198
331020,4
333002,202
333003,268
333004,483
333005,248
333007,4
333008,479
333009,489
333010,228
333011,479
333012,470
333013,69
333014,396
333016,426
335126,34
335130,120
335148,8
335153,594
335166,10
335169,12
335176,8
335182,8
335190,2
335202,14
335226,314
335240,28
335245,32
335250,24
335255,44
335260,16
336000,72
336039,32
336049,944
336050,464
336051,6040
336052,2240
336054,644
336055,118
336062,174
336065,312
336067,242
336076,32
336077,8
336081,24
336084,28
336091,72
336094,112
336202,16
336204,4
336210,24
336218,2
336222,14
336226,10
338000,6
338001,4
338002,174
338071,134
338100,16
338101,4
338102,4
338103,4
338109,18
338114,6
338116,18
338120,10
338121,10
338122,82
338123,78
338124,96
338125,96
338136,9
338150,140
338229,74
338239,150
338261,28
338263,28
338267,16
338273,100
339000,174
339005,93
339024,810
339026,146
339030,716
339040,356
339044,14
339080,181
03CC,11274
03CM,1028
03K,580
03M,18
03P,62
03RX1,20
03S,128
04A,441
04EXS,33173
04F,1343
04FXS,35635
05A,7954
05B,1540
05C,2418
05CXE,701
05E,1622
05GS,620
05GT,82
05K,6523
05S,179
05T,652
05W,841
05WZ,259
661505,646
06A,8855
06B,7882
06C,7463
06D,31427
06E,38674
06F,24249
06G,4064
06H,4208
06K,55853
06L,19508
06M,26941
06N,10564
06Q,11023
06R,6306
06S,10539
06T,1418
08AAC,631
08N,267
08P,426
08X,1262
08Z,1410
916578,136
919259,32
926224,8
926577,16
926578,8
928118,16
928120,16
928121,16
928122,36
928123,18
928124,4
928125,4
928126,4
928127,8
928128,8
940483,16
940824,4
940827,8
940828,40
09AA,31
09H,48
09J,242
09K,4066
100,11
100002,27
100037,1778
100040,343952
100048,46
100058,398
100062,2099
100075,16
100097,563
100138,3324
100139,2984
100144,513
100321,30
10045,8
100451,18
100529,1579
100752,536
10095,90
10096,26
101,225
1011000,6712
1013400,4595
1014200,7269
1014300,4183
1014400,348
10145,90
1014600,10707
10148,15
10151,196
10152,246
10153,203
10163,24
10174,86
10177,199
10185,42
10186,84
10187,496
10188,49
10189,371
10190,577
10191,1402
10192,1356
10196,346
10197,3440
10198,222
10199,2102
102,1
10200,2206
10201,2656
10203,902
10204,87
10206,864
10207,1546
10209,4
10210,14
10211,2
10212,150
10213,79
10214,3
10215,6
10217,10
10218,5
10219,27
10224,1000
10225,1000
10237,37
10239,1327
10240,2975
10241,705
10243,1530
10248,448
10251,326
10252,1541
10257,5
10260,439
10261,300
10276,65
10277,4
10278,36
10279,81
10280,19
10281,20
10283,42
10284,21
10285,10
10294,384
10295,1644
10296,1930
10297,33
10298,49
10299,2
103,302
10300,728
10301,102
10302,125
10303,48
10304,72
10305,2
10306,8
10307,11
10313,28
10316,24
10317,2
10319,58
10320,8
10324,8
10325,2
10326,30
10327,14
10328,44
10329,12
10330,1
10331,124
10332,22
10333,112
10335,56
10336,4
10338,95
10345,12
10346,58
10348,228
1034800,2814
10380,1285
10386,1885
10387,136
10390,2334
10391,1004
10392,998
10396,34
104,47
10400,270
10401,14
10402,14
10403,4
10405,422
