,Item Code,Units in System,Demand,Date
0,10795,42,44,2018-01-21
1,1133,0,48,2018-01-28
2,1579,0,668,2018-01-07
3,1579,0,668,2018-01-14
4,1579,0,668,2018-01-21
5,1579,0,668,2018-01-28
6,1991487,0,1,2018-01-21
7,1991487,0,1,2018-01-28
8,2053,0,535,2018-01-07
9,2053,0,523,2018-01-14
10,2053,0,512,2018-01-21
11,2053,0,511,2018-01-28
12,2190,0,1,2018-01-07
13,2190,0,1,2018-01-14
14,2190,0,1,2018-01-21
15,2190,0,1,2018-01-28
16,2199,0,21,2018-01-07
17,2199,0,21,2018-01-14
18,2199,0,21,2018-01-21
19,2199,0,21,2018-01-28
20,2220114,16,330,2018-01-14
21,2220114,16,330,2018-01-21
22,2220114,16,330,2018-01-28
23,271,57,58,2018-01-14
24,3561,232,298,2018-01-21
25,3561,232,260,2018-01-28
26,404,26,27,2018-01-28
27,526,71,82,2018-01-28
28,7018,0,13,2018-01-07
29,7018,0,13,2018-01-14
30,7018,0,13,2018-01-21
31,7018,0,13,2018-01-28
32,7230264,0,1000,2018-01-14
33,7230264,0,1000,2018-01-21
34,7230264,0,1000,2018-01-28
35,7230455,0,200,2018-01-14
36,7230455,0,200,2018-01-21
37,7230455,0,200,2018-01-28
38,7471,6,8,2018-01-14
39,7471,6,8,2018-01-21
40,7471,6,12,2018-01-28
41,AL1S,58,150,2018-01-28
42,ALT3,104,146,2018-01-28
43,LB10904,0,7,2018-01-28
44,100124,0,2,2018-01-07
45,100124,0,2,2018-01-14
46,100124,0,2,2018-01-21
47,100124,0,2,2018-01-28
48,100126,0,2,2018-01-07
49,100126,0,2,2018-01-14
50,100126,0,2,2018-01-21
51,100126,0,2,2018-01-28
52,100785,0,2,2018-01-07
53,100785,0,2,2018-01-14
54,100785,0,2,2018-01-21
55,100785,0,2,2018-01-28
56,100852,0,1,2018-01-21
57,100852,0,1,2018-01-28
58,100854,0,6,2018-01-07
59,100854,0,6,2018-01-14
60,100854,0,6,2018-01-21
61,100854,0,6,2018-01-28
62,2220114,16,330,2018-01-14
63,2220114,16,330,2018-01-21
64,2220114,16,330,2018-01-28
65,225006,0,4,2018-01-21
66,225006,0,4,2018-01-28
67,225011,4,10,2018-01-07
68,225011,4,10,2018-01-14
69,225011,4,10,2018-01-21
70,225011,4,10,2018-01-28
71,2250114,0,2,2018-01-07
72,2250114,0,2,2018-01-14
73,2250114,0,2,2018-01-21
74,2250114,0,2,2018-01-28
75,225013,2,4,2018-01-07
76,225013,2,4,2018-01-14
77,225013,2,4,2018-01-21
78,225013,2,4,2018-01-28
79,225016,0,1,2018-01-14
80,225016,0,1,2018-01-21
81,225016,0,1,2018-01-28
82,225017,0,2,2018-01-07
83,225017,0,2,2018-01-14
84,225017,0,2,2018-01-21
85,225017,0,2,2018-01-28
86,225018,0,2,2018-01-07
87,225018,0,2,2018-01-14
88,225018,0,2,2018-01-21
89,225018,0,2,2018-01-28
90,225023,0,2,2018-01-07
91,225023,0,2,2018-01-14
92,225023,0,2,2018-01-21
93,225023,0,2,2018-01-28
94,225042,1,3,2018-01-07
95,225042,1,3,2018-01-14
96,225042,1,3,2018-01-21
97,225042,1,3,2018-01-28
98,225062,0,2,2018-01-07
99,225062,0,2,2018-01-14
100,225062,0,2,2018-01-21
101,225062,0,2,2018-01-28
102,225063,0,2,2018-01-07
103,225063,0,2,2018-01-14
104,225063,0,2,2018-01-21
105,225063,0,2,2018-01-28
106,225065,0,4,2018-01-07
107,225065,0,4,2018-01-14
108,225065,0,4,2018-01-21
109,225065,0,4,2018-01-28
110,271,57,58,2018-01-14
111,404,26,27,2018-01-28
112,ALJ21,0,53,2018-01-21
113,ALJ21,0,53,2018-01-28
114,B10,0,18,2018-01-07
115,B10,0,18,2018-01-14
116,B10,0,18,2018-01-21
117,B10,0,18,2018-01-28
118,SFSJ36,0,52,2018-01-21
119,SFSJ36,0,52,2018-01-28
120,SRB,0,6,2018-01-21
121,SRB,0,6,2018-01-28
122,SRO,0,17,2018-01-21
123,SRO,0,17,2018-01-28
124,VFTP463087,0,450,2018-01-21
125,VFTP463087,0,450,2018-01-28
126,VFTP552147,0,820,2018-01-07
127,VFTP552147,0,820,2018-01-14
128,VFTP552147,0,820,2018-01-21
129,VFTP552147,0,820,2018-01-28
130,WPP21012,1140,1659,2018-01-07
131,WPP21012,1140,1866,2018-01-14
132,WPP21012,1140,1866,2018-01-21
133,WPP21012,1140,1866,2018-01-28
134,10795,42,44,
135,1133,0,0,
136,1579,0,668,
137,1991487,0,0,
138,2053,0,535,
139,2190,0,1,
140,2199,0,21,
141,2220114,16,330,
142,3561,232,298,
143,404,26,27,
144,526,71,82,
145,7018,0,13,
146,7230264,0,0,
147,7230455,0,0,
148,7471,6,12,
149,AL1S,58,150,
150,ALT3,104,146,
151,LB10904,0,0,
152,100124,0,2,
153,100126,0,2,
154,100785,0,2,
155,100852,0,0,
156,100854,0,6,
157,2220114,16,330,
158,225006,0,0,
159,225011,4,10,
160,2250114,0,2,
161,225013,2,4,
162,225016,0,0,
163,225017,0,2,
164,225018,0,2,
165,225023,0,2,
166,225042,1,3,
167,225062,0,2,
168,225063,0,2,
169,225065,0,4,
170,404,26,27,
171,ALJ21,0,0,
172,B10,0,18,
173,SFSJ36,0,0,
174,SRB,0,0,
175,SRO,0,0,
176,VFTP463087,0,0,
177,VFTP552147,0,820,
178,WPP21012,1140,1866,
