,Item Code,Units in System,Demand,Date
0,10795,42,44,2018-01-21
1,1121,8,13,2018-01-07
2,1133,0,48,2018-01-28
3,1579,0,668,2018-01-07
4,1579,0,668,2018-01-14
5,1579,0,668,2018-01-21
6,1579,0,668,2018-01-28
7,1991487,0,1,2018-01-21
8,1991487,0,1,2018-01-28
9,2053,0,535,2018-01-07
10,2053,0,523,2018-01-14
11,2053,0,512,2018-01-21
12,2053,0,511,2018-01-28
13,2190,0,1,2018-01-07
14,2190,0,1,2018-01-14
15,2190,0,1,2018-01-21
16,2190,0,1,2018-01-28
17,2199,0,21,2018-01-07
18,2199,0,21,2018-01-14
19,2199,0,21,2018-01-21
20,2199,0,21,2018-01-28
21,3561,232,298,2018-01-21
22,3561,232,260,2018-01-28
23,404,26,27,2018-01-28
24,4765,0,1,2018-01-07
25,526,71,82,2018-01-28
26,5321,0,8,2018-01-07
27,7018,0,13,2018-01-07
28,7018,0,13,2018-01-14
29,7018,0,13,2018-01-21
30,7018,0,13,2018-01-28
31,7230264,0,1000,2018-01-14
32,7230264,0,1000,2018-01-21
33,7230264,0,1000,2018-01-28
34,7230455,0,200,2018-01-14
35,7230455,0,200,2018-01-21
36,7230455,0,200,2018-01-28
37,7471,6,8,2018-01-14
38,7471,6,8,2018-01-21
39,7471,6,12,2018-01-28
40,AL1S,58,150,2018-01-28
41,ALT3,102,146,2018-01-28
42,LB10904,0,7,2018-01-28
43,LB10905,0,24,2018-01-07
44,LB10908,142,148,2018-01-07
45,MESH2X4,0,8,2018-01-07
46,SLH22,552,566,2018-01-07
47,100852,0,1,2018-01-21
48,100852,0,1,2018-01-28
49,225006,0,4,2018-01-21
50,225006,0,4,2018-01-28
51,225016,0,1,2018-01-14
52,225016,0,1,2018-01-21
53,225016,0,1,2018-01-28
54,404,26,27,2018-01-28
55,ALJ21,0,53,2018-01-21
56,ALJ21,0,53,2018-01-28
57,B10,0,18,2018-01-07
58,B10,0,18,2018-01-14
59,B10,0,18,2018-01-21
60,B10,0,18,2018-01-28
61,SFSJ36,0,52,2018-01-21
62,SFSJ36,0,52,2018-01-28
63,SLH22,552,566,2018-01-07
64,SRB,0,6,2018-01-21
65,SRB,0,6,2018-01-28
66,SRO,0,17,2018-01-21
67,SRO,0,17,2018-01-28
68,VFTP463087,0,450,2018-01-21
69,VFTP463087,0,450,2018-01-28
70,VFTP552147,0,820,2018-01-07
71,VFTP552147,0,820,2018-01-14
72,VFTP552147,0,820,2018-01-21
73,VFTP552147,0,820,2018-01-28
74,10795,42,44,
75,1121,8,13,
76,1133,0,0,
77,1579,0,668,
78,1991487,0,0,
79,2053,0,535,
80,2190,0,1,
81,2199,0,21,
82,3561,232,298,
83,404,26,27,
84,4765,0,0,
85,526,71,82,
86,5321,0,0,
87,7018,0,13,
88,7230264,0,0,
89,7230455,0,0,
90,7471,6,12,
91,AL1S,58,150,
92,ALT3,102,146,
93,LB10904,0,0,
94,LB10905,0,0,
95,LB10908,142,148,
96,MESH2X4,0,0,
97,SLH22,552,566,
98,100852,0,0,
99,225006,0,0,
100,225016,0,0,
101,404,26,27,
102,ALJ21,0,0,
103,B10,0,18,
104,SFSJ36,0,0,
105,SLH22,552,566,
106,SRB,0,0,
107,SRO,0,0,
108,VFTP463087,0,0,
109,VFTP552147,0,820,
