InventoryDate,ItemCode,Branch,InventoryQuantity
1/7/2018,06D,Atlanta F&S,101
1/7/2018,06E,Atlanta F&S,100
1/7/2018,06F,Atlanta F&S,257
1/7/2018,06L,Atlanta F&S,63
1/7/2018,06M,Atlanta F&S,31
1/7/2018,100040,Atlanta F&S,78346
1/7/2018,100144,Atlanta F&S,18
1/7/2018,100529,Atlanta F&S,79
1/7/2018,10095,Atlanta F&S,90
1/7/2018,10096,Atlanta F&S,26
1/7/2018,10151,Atlanta F&S,196
1/7/2018,102,Atlanta F&S,1
1/7/2018,10243,Atlanta F&S,115
1/7/2018,103,Atlanta F&S,292
1/7/2018,10338,Atlanta F&S,75
1/7/2018,104,Atlanta F&S,1
1/7/2018,10425,Atlanta F&S,150
1/7/2018,10427,Atlanta F&S,100
1/7/2018,10430,Atlanta F&S,150
1/7/2018,10431,Atlanta F&S,200
1/7/2018,105,Atlanta F&S,34
1/7/2018,10621,Atlanta F&S,3
1/7/2018,10623,Atlanta F&S,6000
1/7/2018,10629,Atlanta F&S,14
1/7/2018,10632,Atlanta F&S,500
1/7/2018,10634,Atlanta F&S,498
1/7/2018,10680,Atlanta F&S,98
1/7/2018,10681,Atlanta F&S,379
1/7/2018,10682,Atlanta F&S,234
1/7/2018,10683,Atlanta F&S,16
1/7/2018,10684,Atlanta F&S,46
1/7/2018,10696,Atlanta F&S,4387
1/7/2018,10697,Atlanta F&S,44
1/7/2018,10710,Atlanta F&S,7
1/7/2018,10712,Atlanta F&S,1
1/7/2018,10716,Atlanta F&S,50
1/7/2018,10717,Atlanta F&S,6
1/7/2018,10719,Atlanta F&S,38
1/7/2018,10720,Atlanta F&S,106
1/7/2018,10721,Atlanta F&S,3
1/7/2018,10722,Atlanta F&S,6
1/7/2018,10727,Atlanta F&S,50
1/7/2018,10753,Atlanta F&S,1
1/7/2018,10754,Atlanta F&S,33
1/7/2018,10767,Atlanta F&S,600
1/7/2018,10768,Atlanta F&S,350
1/7/2018,10777,Atlanta F&S,2180
1/7/2018,108,Atlanta F&S,38
1/7/2018,10829,Atlanta F&S,1922
1/7/2018,1083,Atlanta F&S,60
1/7/2018,10830,Atlanta F&S,272
1/7/2018,10850,Atlanta F&S,375
1/7/2018,109,Atlanta F&S,8186
1/7/2018,11,Atlanta F&S,1512
1/7/2018,111,Atlanta F&S,8635
1/7/2018,112,Atlanta F&S,5372
1/7/2018,113,Atlanta F&S,2472
1/7/2018,1134,Atlanta F&S,4
1/7/2018,115,Atlanta F&S,3574
1/7/2018,119,Atlanta F&S,829
1/7/2018,12,Atlanta F&S,1885
1/7/2018,122,Atlanta F&S,54
1/7/2018,124,Atlanta F&S,6
1/7/2018,126,Atlanta F&S,36
1/7/2018,128,Atlanta F&S,45
1/7/2018,129,Atlanta F&S,7
1/7/2018,13,Atlanta F&S,1024
1/7/2018,137,Atlanta F&S,31
1/7/2018,139,Atlanta F&S,20
1/7/2018,14,Atlanta F&S,3109
1/7/2018,140,Atlanta F&S,14
1/7/2018,141,Atlanta F&S,20
1/7/2018,142,Atlanta F&S,31
1/7/2018,144,Atlanta F&S,8
1/7/2018,15,Atlanta F&S,2546
1/7/2018,16,Atlanta F&S,477
1/7/2018,1604,Atlanta F&S,60
1/7/2018,1605,Atlanta F&S,29
1/7/2018,1628,Atlanta F&S,18
1/7/2018,1633,Atlanta F&S,638
1/7/2018,169,Atlanta F&S,22
1/7/2018,17,Atlanta F&S,3671
