Inventory Date,ItemCode,Branch,Weekly Demand
1/7/18,002488US,Baltimore F&S,30
1/14/18,002488US,Baltimore F&S,30
1/21/18,002488US,Baltimore F&S,30
1/28/18,002488US,Baltimore F&S,30
1/7/18,002488US,Great Lakes CC,4
1/14/18,002488US,Great Lakes CC,4
1/21/18,002488US,Great Lakes CC,4
1/28/18,002488US,Great Lakes CC,4
1/7/18,002488US,Linden,24
1/14/18,002488US,Linden,24
1/21/18,002488US,Linden,34
1/28/18,002488US,Linden,36
1/7/18,121000,Toronto F&S,14
1/14/18,121000,Toronto F&S,14
1/21/18,121000,Toronto F&S,14
1/28/18,121000,Toronto F&S,14
1/7/18,121004,Fontana,7
1/14/18,121004,Fontana,7
1/7/18,121004,Toronto F&S,8
1/14/18,121004,Toronto F&S,8
1/21/18,121004,Toronto F&S,8
1/28/18,121004,Toronto F&S,8
1/7/18,012CL4,Great Lakes CC,10
1/14/18,012CL4,Great Lakes CC,10
1/21/18,012CL4,Great Lakes CC,10
1/28/18,012CL4,Great Lakes CC,10
1/7/18,012CL4,Houston F&S,2
1/14/18,012CL4,Houston F&S,2
1/21/18,012CL4,Houston F&S,2
1/28/18,012CL4,Houston F&S,2
1/7/18,012CL4,Linden,13
1/14/18,012CL4,Linden,13
1/21/18,012CL4,Linden,13
1/28/18,012CL4,Linden,13
1/28/18,012CL4,Seattle F&S,2
1/7/18,012CL7,Great Lakes CC,22
1/14/18,012CL7,Great Lakes CC,22
1/21/18,012CL7,Great Lakes CC,22
1/28/18,012CL7,Great Lakes CC,22
1/7/18,012CL7,Houston F&S,12
1/14/18,012CL7,Houston F&S,12
1/21/18,012CL7,Houston F&S,12
1/28/18,012CL7,Houston F&S,12
1/7/18,012CL7,Linden,29
1/14/18,012CL7,Linden,29
1/21/18,012CL7,Linden,29
1/28/18,012CL7,Linden,29
1/28/18,012CL7,Seattle F&S,8
1/7/18,012CLB,Great Lakes CC,42
1/14/18,012CLB,Great Lakes CC,42
1/21/18,012CLB,Great Lakes CC,42
1/28/18,012CLB,Great Lakes CC,42
1/7/18,012CLB,Houston F&S,135
1/14/18,012CLB,Houston F&S,135
1/21/18,012CLB,Houston F&S,135
1/28/18,012CLB,Houston F&S,135
1/7/18,012CLB,Linden,34
1/14/18,012CLB,Linden,34
1/21/18,012CLB,Linden,34
1/28/18,012CLB,Linden,34
1/7/18,012CLB,Seattle F&S,9
1/14/18,012CLB,Seattle F&S,9
1/21/18,012CLB,Seattle F&S,9
1/28/18,012CLB,Seattle F&S,21
1/7/18,01A,Great Lakes CC,36
1/14/18,01A,Great Lakes CC,36
1/21/18,01A,Great Lakes CC,36
1/28/18,01A,Great Lakes CC,36
1/7/18,01H,Baltimore F&S,1
1/14/18,01H,Baltimore F&S,1
1/21/18,01H,Baltimore F&S,1
1/28/18,01H,Baltimore F&S,1
1/21/18,01HX24,Baltimore F&S,20
1/28/18,01HX24,Baltimore F&S,20
1/7/18,01JX2W,Great Lakes CC,290
1/14/18,01JX2W,Great Lakes CC,290
1/21/18,01JX2W,Great Lakes CC,290
1/28/18,01JX2W,Great Lakes CC,290
1/28/18,01M,Great Lakes CC,40
1/7/18,200600,Toronto F&S,51
1/14/18,200600,Toronto F&S,42
1/21/18,200600,Toronto F&S,42
1/28/18,200600,Toronto F&S,42
1/7/18,212100,Toronto F&S,22
1/14/18,212100,Toronto F&S,22
1/21/18,212100,Toronto F&S,22
1/28/18,212100,Toronto F&S,22
1/7/18,230003,Toronto F&S,25
1/14/18,230003,Toronto F&S,25
1/21/18,230003,Toronto F&S,25
1/28/18,230003,Toronto F&S,25
1/7/18,230005,Toronto F&S,250
1/14/18,230005,Toronto F&S,250
1/21/18,230005,Toronto F&S,250
1/7/18,230100,Toronto F&S,112
1/14/18,230100,Toronto F&S,112
1/21/18,230100,Toronto F&S,112
1/28/18,230100,Toronto F&S,112
1/14/18,230100,Vancouver F&S,550
1/21/18,230100,Vancouver F&S,550
1/28/18,230100,Vancouver F&S,550
1/7/18,230111,Toronto F&S,250
1/14/18,230111,Toronto F&S,250
1/21/18,230111,Toronto F&S,250
1/7/18,230150,Edmonton F&S,100
1/14/18,230150,Edmonton F&S,100
1/21/18,230150,Edmonton F&S,100
1/28/18,230150,Edmonton F&S,100
1/7/18,230200,Toronto F&S,150
1/14/18,230200,Toronto F&S,150
1/21/18,230200,Toronto F&S,150
1/28/18,230200,Toronto F&S,150
1/7/18,230300,Toronto F&S,16
1/14/18,230300,Toronto F&S,16
1/21/18,230300,Toronto F&S,16
1/28/18,230300,Toronto F&S,16
1/7/18,230600,Toronto F&S,172
1/14/18,230600,Toronto F&S,172
1/21/18,230600,Toronto F&S,169
1/28/18,230600,Toronto F&S,169
1/7/18,234050,Toronto F&S,20
1/14/18,234050,Toronto F&S,20
1/21/18,234050,Toronto F&S,20
1/7/18,234100,Toronto F&S,50
1/14/18,234100,Toronto F&S,50
1/21/18,234100,Toronto F&S,50
1/28/18,234100,Toronto F&S,50
1/7/18,238025,Toronto F&S,226
1/14/18,238025,Toronto F&S,226
1/21/18,238025,Toronto F&S,226
1/28/18,238025,Toronto F&S,206
1/7/18,238043,Toronto F&S,169
1/14/18,238043,Toronto F&S,169
1/21/18,238043,Toronto F&S,157
1/28/18,238043,Toronto F&S,149
1/7/18,238045,Toronto F&S,139
1/14/18,238045,Toronto F&S,139
1/21/18,238045,Toronto F&S,139
1/28/18,238045,Toronto F&S,139
1/7/18,238050,Toronto F&S,79
1/14/18,238050,Toronto F&S,79
1/21/18,238050,Toronto F&S,79
1/28/18,238050,Toronto F&S,95
1/7/18,239015,Toronto F&S,100
1/14/18,239015,Toronto F&S,100
1/21/18,239015,Toronto F&S,100
1/28/18,239015,Toronto F&S,100
1/7/18,241000,Montreal F&S,11050
1/14/18,241000,Montreal F&S,11050
