InventoryDate,ItemCode,Branch,InventoryQuantity
1/1/18,10,USD Region Offices,100
1/1/18,11,Atlanta F&S,4637
1/1/18,11,Baltimore F&S,6837
1/1/18,11,Edmonton F&S,1277
1/1/18,11,Fontana,4465
1/1/18,11,Great Lakes CC,1854
1/1/18,11,Houston F&S,1024
1/1/18,11,Montreal F&S,4075
1/1/18,11,Sacramento Main,474
1/1/18,11,Seattle F&S,6119
1/1/18,11,Tampa F&S,8947
1/1/18,11,Toronto F&S,18424
1/1/18,11,USD Region Offices,46
1/1/18,11,Vancouver F&S,1047
1/1/18,12,Atlanta F&S,6795
1/1/18,12,Baltimore F&S,5364
1/1/18,12,Edmonton F&S,2939
1/1/18,12,Fontana,3486
1/1/18,12,Great Lakes CC,1992
1/1/18,12,Houston F&S,2043
1/1/18,12,Montreal F&S,2733
1/1/18,12,Sacramento Main,869
1/1/18,12,Seattle F&S,3939
1/1/18,12,Tampa F&S,14476
1/1/18,12,Toronto F&S,26730
1/1/18,12,USD Region Offices,134
1/1/18,12,Vancouver F&S,1802
1/1/18,13,Atlanta F&S,1024
1/1/18,13,Baltimore F&S,39
1/1/18,13,Edmonton F&S,1536
1/1/18,13,Toronto F&S,19020
1/1/18,13,USD Region Offices,214
1/1/18,14,Atlanta F&S,6090
1/1/18,14,Baltimore F&S,5795
1/1/18,14,Edmonton F&S,4910
1/1/18,14,Fontana,5042
1/1/18,14,Great Lakes CC,1764
1/1/18,14,Houston F&S,3275
1/1/18,14,Montreal F&S,3305
1/1/18,14,Sacramento Main,677
1/1/18,14,Seattle F&S,7181
1/1/18,14,Tampa F&S,8925
1/1/18,14,Toronto F&S,36427
1/1/18,14,Vancouver F&S,1500
1/1/18,15,Atlanta F&S,3113
1/1/18,15,Baltimore F&S,5483
1/1/18,15,Edmonton F&S,9021
1/1/18,15,Fontana,2096
1/1/18,15,Great Lakes CC,1036
1/1/18,15,Houston F&S,1144
1/1/18,15,Montreal F&S,1937
1/1/18,15,Sacramento Main,301
1/1/18,15,Seattle F&S,2518
