PREFIX,ITEM,DESCRIPTION,WEIGHT
07,#9WIRE,#9 WIRE,51.37
SW10,0010-01-07,BRACE DIAG 27 3/4 X 7' PRE GLV,10
2050,2488,HALF COUPLER 48/M20X30 W.A.F. 22 (HUNNEBECK),1.15
3001,002488US,"1/2 CPLR W/ 1/2""X2"" HEX BOLT (CS240)",1.98
SW69,0054-130,RP DECK ALRL PLY BJ HOOK ASSY,0
2170,6205,REPAIR DOWEL PIN F/ LEDGER 6.35MM DIA X 19.5MM L,0.01
2171,6215,REPAIR END PLATE F/ INNER LEG,4
2171,6216,REPAIR ADJ. NUT F/ INNER LEG,2
2171,6217,GASS QUICKSTRIKE COLLAR,12.13
2171,6220,REPAIR END PLATE F/ OUTER / EXT. LEG,4.5
07,6231,GASS FRAME RIVETS,0.22
2171,6235,CAST BARREL BODY - TOP,4.23
2171,6236,CAST BARREL BODY - BOTTOM,4.23
07,6292,BARREL BOLT - FORGED,0.33
07,6321,GASS FRAME RIVETS,0.22
2170,6326,REPAIR WEDGE F/ LEDGER,0.33
2171,6350,REPAIR BOWTIE LATCH F/ OUTER LEG,0.14
2171,6351,REPAIR BOWTIE SPRING F/ OUTER LEG,0.01
2171,6353,REPAIR BOWTIE PIVOT PLT. F/ OUTER LEG,0.1
2171,6355,REPAIR RING F/ OUTER LEG,0.33
SW64,008811-2,ENDGATE ASSEMBLY;MOD PLATFORM,12
SW64,008812-1,CORNER ADAPTER;MODULAR PLTFRM,118
SW64,008827-001,SW LOCKING BAR W/ STITTUP,15
SW64,008828-001,SW MAST W/ STIRRUP,80
SW64,008829-001,SW BOOM W/ STIRRUP,45
SW64,008831-1,TUBE;CABLE GUIDE,1
SW64,008899-1,FRAME;LEFT;CORNER ADAPTER,36
SW64,008900-1,FRAME;CENTER;CORNER ADAPTER,17
SW64,008901-1,FRAME;RIGHT;CORNER ADAPTER,39.5
SW64,008902-1,CAP;CORNER ADAPTER;MOD PLTFRM,1
SW64,008903-1,POST;CENTER RAIL,16
1043,10,REPAIR HOOK & WINGNUT F/ 010 BRACES,0.42
4999,010B,PLAN BRACE W HOOKS 5'X6',17.5
1043,010C,PLAN BRACE W/ HOOKS 5' X 7',18.5
1043,010D,PLAN BRACE W/ HOOKS 5' X 10',31
267,111070,"WALER DU-120/0,7",9.1
267,111100,WALER DU-120/1                ,58.3
267,111150,WALER DU-120/1.5,87.12
267,111350,"WALER DU-120/3,5              ",204.6
4999,011COP,CASTER F/202H POLY 1K CAP,16
1043,011CORH,"CASTER 8""D (RUBBER)",12.5
260,121000,"HANDRAIL POST D50/1,5         ",15.84
