Inventory Date,ItemCode,Branch,Demand
1/7/2018,11,Atlanta F&S,625
1/7/2018,11,Baltimore F&S,2735
1/7/2018,11,Edmonton F&S,252
1/7/2018,11,Fontana,2072
1/7/2018,11,Great Lakes CC,1461
1/7/2018,11,Houston F&S,437
1/7/2018,11,Montreal F&S,1403
1/7/2018,11,Sacramento Main,54
1/7/2018,11,Seattle F&S,2936
1/7/2018,11,Tampa F&S,5487
1/7/2018,11,Toronto F&S,7187
1/7/2018,11,Vancouver F&S,887
1/7/2018,12,Atlanta F&S,801
1/7/2018,12,Baltimore F&S,3593
1/7/2018,12,Edmonton F&S,2884
1/7/2018,12,Fontana,2260
1/7/2018,12,Great Lakes CC,1527
1/7/2018,12,Houston F&S,1041
1/7/2018,12,Montreal F&S,1886
1/7/2018,12,Sacramento Main,393
1/7/2018,12,Seattle F&S,1569
1/7/2018,12,Tampa F&S,10060
1/7/2018,12,Toronto F&S,16338
1/7/2018,12,Vancouver F&S,1056
1/7/2018,14,Atlanta F&S,1010
1/7/2018,14,Baltimore F&S,3534
1/7/2018,14,Edmonton F&S,2562
1/7/2018,14,Fontana,2652
1/7/2018,14,Great Lakes CC,1439
1/7/2018,14,Houston F&S,1168
1/7/2018,14,Montreal F&S,455
1/7/2018,14,Sacramento Main,288
1/7/2018,14,Seattle F&S,3609
1/7/2018,14,Tampa F&S,5450
1/7/2018,14,Toronto F&S,9631
1/7/2018,14,Vancouver F&S,752
1/7/2018,15,Atlanta F&S,1745
1/7/2018,15,Baltimore F&S,1988
1/7/2018,15,Edmonton F&S,3940
1/7/2018,15,Fontana,1175
1/7/2018,15,Great Lakes CC,432
1/7/2018,15,Houston F&S,65
1/7/2018,15,Montreal F&S,582
1/7/2018,15,Sacramento Main,44
1/7/2018,15,Seattle F&S,1748
1/7/2018,15,Tampa F&S,2129
1/7/2018,15,Toronto F&S,12239
1/7/2018,15,Vancouver F&S,1111
1/7/2018,16,Atlanta F&S,2847
