Branch,ItemCode,Week 1,Week 2,Week 3,Week 4,Monthly Demand
Baltimore F&S,002488US,30.0,30.0,30.0,30.0,0.0
Great Lakes CC,002488US,4.0,4.0,4.0,4.0,0.0
Linden,002488US,24.0,24.0,34.0,36.0,12.0
Toronto F&S,121000,14.0,14.0,14.0,14.0,0.0
Fontana,121004,7.0,7.0,0.0,0.0,-7.0
Toronto F&S,121004,8.0,8.0,8.0,8.0,0.0
Great Lakes CC,012CL4,10.0,10.0,10.0,10.0,0.0
Houston F&S,012CL4,2.0,2.0,2.0,2.0,0.0
Linden,012CL4,13.0,13.0,13.0,13.0,0.0
Great Lakes CC,012CL7,22.0,22.0,22.0,22.0,0.0
Houston F&S,012CL7,12.0,12.0,12.0,12.0,0.0
Linden,012CL7,29.0,29.0,29.0,29.0,0.0
Great Lakes CC,012CLB,42.0,42.0,42.0,42.0,0.0
Houston F&S,012CLB,135.0,135.0,135.0,135.0,0.0
Linden,012CLB,34.0,34.0,34.0,34.0,0.0
Seattle F&S,012CLB,9.0,9.0,9.0,21.0,12.0
Great Lakes CC,01A,36.0,36.0,36.0,36.0,0.0
Baltimore F&S,01H,1.0,1.0,1.0,1.0,0.0
Great Lakes CC,01JX2W,290.0,290.0,290.0,290.0,0.0
Toronto F&S,200600,51.0,42.0,42.0,42.0,-9.0
Toronto F&S,212100,22.0,22.0,22.0,22.0,0.0
Toronto F&S,230003,25.0,25.0,25.0,25.0,0.0
Toronto F&S,230005,250.0,250.0,250.0,0.0,-250.0
Toronto F&S,230100,112.0,112.0,112.0,112.0,0.0
Toronto F&S,230111,250.0,250.0,250.0,0.0,-250.0
Edmonton F&S,230150,100.0,100.0,100.0,100.0,0.0
Toronto F&S,230200,150.0,150.0,150.0,150.0,0.0
Toronto F&S,230300,16.0,16.0,16.0,16.0,0.0
Toronto F&S,230600,172.0,172.0,169.0,169.0,-3.0
Toronto F&S,234050,20.0,20.0,20.0,0.0,-20.0
Toronto F&S,234100,50.0,50.0,50.0,50.0,0.0
Toronto F&S,238025,226.0,226.0,226.0,206.0,-20.0
Toronto F&S,238043,169.0,169.0,157.0,149.0,-20.0
Toronto F&S,238045,139.0,139.0,139.0,139.0,0.0
Toronto F&S,238050,79.0,79.0,79.0,95.0,16.0
Toronto F&S,239015,100.0,100.0,100.0,100.0,0.0
Montreal F&S,241000,11050.0,11050.0,11050.0,11050.0,0.0
